ticker,exchange_suffix,name,sector
EARTH.AS,.AS,GREEN EARTH GROUP,
EAS2P.AS,.AS,EASE2PAY NV,
EAV.MI,.MI,EMMA VILLAS,
EBUS.AS,.AS,EBUSCO HOLDING,
EC.PA,.PA,TotalEnergiesGabon,
ECK.MI,.MI,ECOSUNTEK,
ECMB.MI,.MI,ECOMEMBRANE,
ECMPA.AS,.AS,EUROCOMMERCIAL,
ECMPM.MI,.MI,EUROCOMMERCIAL,
ECNL.MI,.MI,AQUAFIL,
ECONB.BR,.BR,ECONOCOM GROUP,
ECT.AS,.AS,EUROCASTLE INVEST.,
EDAC.MI,.MI,EDILIZIACROBATICA,
EDEN.PA,.PA,EDENRED,
EDI.PA,.PA,MEDIA 6,
EDNR.MI,.MI,EDISON R,
EDP.LS,.LS,EDP,
EDPR.LS,.LS,EDP RENOVAVEIS,
EEM.PA,.PA,ELECT. MADAGASCAR,
EFG.PA,.PA,EAGLEFOOTBALLGROUP,
EFI.PA,.PA,EURASIA FONC INV,
EG7.IR,.IR,FBD HOLDINGS PLC,
EGB.MI,.MI,E-GLOBE,
EGL.LS,.LS,MOTA ENGIL,
EGLA.MI,.MI,EUROGROUP LAM,
EGR.PA,.PA,EVERGREEN,
EIFF.PA,.PA,TOUR EIFFEL,
EIOF.OL,.OL,EIDESVIK OFFSHORE,
EKI.PA,.PA,EKINOPS,
EKOP.BR,.BR,EKOPAK,
EL.PA,.PA,ESSILORLUXOTTICA,
ELABS.OL,.OL,ELLIPTIC LABORATOR,
ELB.MI,.MI,EDGELAB,
ELC.MI,.MI,ELICA,
ELEC.PA,.PA,ELEC.STRASBOURG,
ELI.BR,.BR,ELIA GROUP,
ELIMP.OL,.OL,ELEKTROIMPORTØREN,
ELIOR.PA,.PA,ELIOR GROUP,
ELIS.PA,.PA,ELIS,
ELK.OL,.OL,ELKEM,
ELMRA.OL,.OL,ELMERA GROUP,
ELN.MI,.MI,EL.EN.,
ELO.OL,.OL,ELOPAK,
ELSA.MI,.MI,ELSA SOLUTIONS,
EM.MI,.MI,EMAK,
EMEIS.PA,.PA,EMEIS,
EMGS.OL,.OL,ELECTROMAGNET GEO,
EN.PA,.PA,BOUYGUES,
ENA.MI,.MI,ENA,
ENAV.MI,.MI,ENAV,
ENDUR.OL,.OL,ENDÚR,
ENEL.MI,.MI,ENEL,
ENERG.OL,.OL,ENERGEIA,
ENH.OL,.OL,SED ENERGY HOLDING,
ENI.MI,.MI,ENI,
ENRGY.BR,.BR,ENERGYVISION,
ENSU.OL,.OL,ENSURGE MICROPOWER,
ENT.MI,.MI,ENERTRONICA SANT,
ENTRA.OL,.OL,ENTRA,
ENV.MI,.MI,ENERVIT,
ENVI.AS,.AS,ENVIPCO,
ENVIP.OL,.OL,ENVIPCO HOLDING,
ENY.MI,.MI,ENERGY,
EOS.PA,.PA,ACTEOS,
EPH.MI,.MI,E.P.H.,
EPR.OL,.OL,EUROPRIS,
EPRB.MI,.MI,EPRCOMUNICAZIONE,
EQNR.OL,.OL,EQUINOR,
EQS.PA,.PA,EQUASENS,
EQUI.MI,.MI,EQUITA GROUP,
EQVA.OL,.OL,EQVA,
ERA.PA,.PA,ERAMET,
ERC.AS,.AS,ER Capital,
ERF.PA,.PA,EUROFINS SCIENT.,
ERFO.MI,.MI,LAB FARMACEUT ERFO,
ERG.MI,.MI,ERG,
ESAU.MI,.MI,ESAUTOMOTION,
ESF.MI,.MI,EDIL SAN FELICE,
ESIGM.MI,.MI,ESI,
ESON.LS,.LS,ESTORIL SOL N,
ESPE.MI,.MI,ESPE,
ESTM.MI,.MI,ESTRIMA,
ET.MI,.MI,ENERGY TIME,
ETH.MI,.MI,EUROTECH,
ETL.PA,.PA,EUTELSAT COMMUNIC.,
ETS.MI,.MI,E.T.S.,
EUK.MI,.MI,EUKEDOS,
EVISO.MI,.MI,EVISO,
EVS.BR,.BR,EVS BROADC.EQUIPM.,
EXA.PA,.PA,EXAIL TECHNOLOGIES,
EXAI.MI,.MI,EXPERT.AI,
EXE.PA,.PA,EXEL INDUSTRIES,
EXEC.MI,.MI,EXECUS,
EXENS.PA,.PA,EXOSENS,
EXM.BR,.BR,EXMAR,
EXO.AS,.AS,EXOR NV,
EXPL.PA,.PA,EXPLOSIFS PROD.CHI,
EXTX.OL,.OL,EXACT THERAPEUTICS,
FAE.MI,.MI,FAE TECHNOLOGY,
FAGR.AS,.AS,FAGRON,
FARM.MI,.MI,H-FARM,
FAST.AS,.AS,FASTNED,
FBK.MI,.MI,FINECOBANK,
FCH.MI,.MI,FRANCHETTI,
FCMC.PA,.PA,FERM.CAS.MUN.CANNE,
FCP.LS,.LS,FUT.CLUBE PORTO,
FCT.MI,.MI,FINCANTIERI,
FDA.MI,.MI,FIDIA,
FDE.PA,.PA,FRANCAISE ENERGIE,
FDJU.PA,.PA,FDJ UNITED,
FER.AS,.AS,FERROVIAL,
FERGR.AS,.AS,FERRARI GROUP,
FF.MI,.MI,FINE FOODS & PHARM,
FFARM.AS,.AS,FORFARMERS,
FFSB.OL,.OL,FLEKKEFJORD SPAREB,
FGA.PA,.PA,FIGEAC AERO,
FGR.PA,.PA,EIFFAGE,
FIC.MI,.MI,FIRST CAPITAL,
FII.PA,.PA,LISI,
FILA.MI,.MI,FILA,
FINM.PA,.PA,FINANCIERE MARJOS,
FIPP.PA,.PA,FIPP,
FLEXD.LS,.LS,FLEXDEAL,
FLOB.BR,.BR,FLORIDIENNE,
FLOW.AS,.AS,FLOW TRADERS,
FLSP.BR,.BR,FLOWSPARKS,
FLUX.BR,.BR,FLUXYS BELGIUM D,
FM.MI,.MI,FIERA MILANO,
FMONC.PA,.PA,MONCEY (FIN.) NOM.,
FNAC.PA,.PA,FNAC DARTY,
FNM.MI,.MI,FNM,
FOAF.PA,.PA,FIN.OUEST AFRICAIN,
FORE.PA,.PA,FORESTIERE EQUAT.,
FOU.BR,.BR,FOUNTAIN,
FPE.MI,.MI,FOPE,
FPG.PA,.PA,UNION TECH.INFOR.,
FR.PA,.PA,VALEO,
FRE.MI,.MI,FRENDY ENERGY,
FREY.PA,.PA,FREY,
FRO.OL,.OL,FRONTLINE,
FRVIA.PA,.PA,FORVIA,
FSDV.PA,.PA,FSDV,
FTC.MI,.MI,FINANZA.TECH,
FUM.MI,.MI,FRANCHI UMB MARMI,
FUR.AS,.AS,FUGRO,
G.MI,.MI,GENERALI,
GAB.MI,.MI,GABETTI,
GAIN.MI,.MI,gAIn360,
GALP.LS,.LS,GALP ENERGIA-NOM,
GAM.PA,.PA,GAUMONT,
GAMB.MI,.MI,GAMBERO ROSSO,
GBT.PA,.PA,GUERBET,
GCOM.MI,.MI,GIGLIO.COM,
GDS.PA,.PA,RAMSAY GEN SANTE,
GE.MI,.MI,GEFRAN,
GEA.PA,.PA,GEA GRENOBL.ELECT.,
GEM.OL,.OL,GREEN MINERALS,
GENT.OL,.OL,GENTIAN DIAGNOSTIC,
GEO.MI,.MI,GEOX,
GEOS.OL,.OL,GOLDEN ENERGY OFF,
GET.PA,.PA,GETLINK SE,
GF.MI,.MI,GENERALFINANCE,
GFC.PA,.PA,GECINA,
GHC.MI,.MI,GAROF HEALTH CARE,
GIGA.OL,.OL,GIGANTE SALMON,
GIMB.BR,.BR,GIMV,
GIS.MI,.MI,GISMONDI 1754,
GJAJ.PA,.PA,GROUPE JAJ,
GJF.OL,.OL,GJENSIDIGE FORSIKR,
GL9.IR,.IR,GLANBIA PLC,
GLE.PA,.PA,SOCIETE GENERALE,
GLINT.LS,.LS,GLINTT,
GLO.PA,.PA,GL EVENTS,
GM.MI,.MI,GENTILI MOSCONI,
GML.MI,.MI,G.M. LEATHER,
GMS.MI,.MI,GIOCAMONDO STUDY,
GNFT.PA,.PA,GENFIT,
GNRO.PA,.PA,GENEURO,
GOD.OL,.OL,GOODTECH,
GPE.PA,.PA,GPE GROUP PIZZORNO,
GPI.MI,.MI,GPI,
GRAL.MI,.MI,GRIFAL,
GRN.MI,.MI,GREEN OLEO,
GRONG.OL,.OL,GRONG SPAREBANK,
GROW.MI,.MI,GROWENS,
GRP.IR,.IR,GREENCOAT REN.,
GRVO.PA,.PA,GRAINES VOLTZ,
GSF.OL,.OL,GRIEG SEAFOOD,
GSP.MI,.MI,GAS PLUS,
GT.MI,.MI,GT TALENT GROUP,
GTT.PA,.PA,GTT,
GUI.PA,.PA,GUILLEMOT,
GVR.IR,.IR,GLENVEAGH PROP.PLC,
GVS.MI,.MI,GVS,
GYL.OL,.OL,GYLDENDAL,
HAFNI.OL,.OL,HAFNIA LIMITED,
HAL.AS,.AS,HAL TRUST,
HAUTO.OL,.OL,HÖEGH AUTOLINERS,
HAV.OL,.OL,HAV GROUP,
HAVAS.AS,.AS,HAVAS,
HAVI.OL,.OL,HAVILA SHIPPING,
HBC.OL,.OL,HOFSETH BIOCARE,
HCO.PA,.PA,HIGH CO,
HDF.PA,.PA,HDF,
HDLY.OL,.OL,HUDDLY,
HDP.PA,.PA,HOTELS DE PARIS,
HEIA.AS,.AS,HEINEKEN,
HEIJM.AS,.AS,HEIJMANS KON,
HEIO.AS,.AS,HEINEKEN HOLDING,
HELG.OL,.OL,SPBK1 HELGELAND,
HER.MI,.MI,HERA,
HERMA.OL,.OL,HERMANA HOLDING,
HEX.OL,.OL,HEXAGON COMPOSITES,
HGSB.OL,.OL,HAUGESUND SPB,
HIK.MI,.MI,HAIKI+,
HKY.OL,.OL,HAVILA KYSTRUTEN,
HLX.MI,.MI,HELYX INDUSTRIES,
HMSO.IR,.IR,HAMMERSON PLC,
HO.PA,.PA,THALES,
HOLCO.AS,.AS,HOLLAND COLOURS,
HOMI.BR,.BR,HOME INVEST BE.,
HPUR.OL,.OL,HEXAGON PURUS,
HQF.MI,.MI,HIGH QUALITY FOOD,
HSHP.OL,.OL,HIMALAYA SHIPPING,
HSPG.OL,.OL,HØLAND OG SETSKOG,
HSW.IR,.IR,HOSTELWORLD GROUP,
HUDL.OL,.OL,HUDDLESTOCK FINTEC,
HUNT.OL,.OL,HUNTER GROUP,
HWK.AS,.AS,HAWICK DATA NV,
HYDRA.AS,.AS,HYDRATEC,
HYL.BR,.BR,HYLORIS,
HYN.OL,.OL,HYNION,
HYPRO.OL,.OL,HYDROGENPRO,
HYSG.BR,.BR,HYBRID SOFTWARE GR,
HZY.MI,.MI,HOMIZY,
IAM.PA,.PA,MAROC TELECOM,
IB.MI,.MI,INIZIAT BRESCIANE,
IBAB.BR,.BR,IBA,
IBS.LS,.LS,"IBERSOL,SGPS",
ICAD.PA,.PA,ICADE,
ICC.MI,.MI,INTERNAT CARE COMP,
ICF.MI,.MI,IND CHIMICHE FORES,
ICOP.MI,.MI,I.CO.P.,
ICOS.MI,.MI,INTERCOS,
IDEX.OL,.OL,IDEX BIOMETRICS,
IDIP.PA,.PA,IDI,
IDL.PA,.PA,ID LOGISTICS GROUP,
IDNTT.MI,.MI,IDNTT,
IEG.MI,.MI,ITALIAN EXHIBITION,
IEP.BR,.BR,IEP INVEST,
IF.MI,.MI,BANCA IFIS,
IG.MI,.MI,ITALGAS,
IGD.MI,.MI,IGD,
IGV.MI,.MI,I GRANDI VIAGGI,
ILLA.MI,.MI,ILLA,
ILP.MI,.MI,ILPRA,
IMCD.AS,.AS,IMCD,
IMD.MI,.MI,I.M.D.,
IMDA.PA,.PA,IMMOB.DASSAULT,
IMMO.BR,.BR,IMMOBEL,
IMMOU.BR,.BR,IMMO MOURY,
IMS.MI,.MI,IMMSI,
INC.MI,.MI,INNOVATEC,
INCLU.BR,.BR,INCLUSIO SA/NV,
INDB.MI,.MI,INDEL B,
INDCT.OL,.OL,INDUCT,
INEA.PA,.PA,FONCIERE INEA,
INF.PA,.PA,INFOTEL,
INGA.AS,.AS,ING GROEP N.V.,
INIFY.OL,.OL,INIFY LABORATORIES,
ININ.OL,.OL,ININ GROUP,
INPST.AS,.AS,INPOST,
INSTA.OL,.OL,INSTABANK,
INW.MI,.MI,INWIT,
IOT.MI,.MI,SECO,
IOX.OL,.OL,INTEROIL EXPL PROD,
IP.MI,.MI,INTERPUMP GROUP,
IPH.PA,.PA,INNATE PHARMA,
IPN.PA,.PA,IPSEN,
IPR.LS,.LS,"IMPRESA,SGPS",
IPS.PA,.PA,IPSOS,
IR5B.IR,.IR,IRISH CONT. GP.,
IRC.MI,.MI,IRCE,
IRE.MI,.MI,IREN,
IRES.IR,.IR,IRISH RES. PROP.,
ISC.MI,.MI,ISCC FINTECH,
ISLAX.OL,.OL,ICELANDIC SALMON,
ISP.MI,.MI,INTESA SANPAOLO,
ITD.MI,.MI,INTRED,
ITERA.OL,.OL,ITERA,
ITM.MI,.MI,ITALMOBILIARE,
ITP.PA,.PA,INTERPARFUMS,
ITW.MI,.MI,IT WAY,
ITXT.PA,.PA,INTEXA,
IVA.PA,.PA,INVENTIVA,
IVG.MI,.MI,IVECO GROUP,
IVN.MI,.MI,IVISION TECH,
IWB.MI,.MI,ITALIAN WINE BRAND,
IWS.OL,.OL,INTEGRATED WIND SO,
JAREN.OL,.OL,JÆREN SPAREBANK,
JBOG.PA,.PA,JACQUES BOGART,
JCQ.PA,.PA,JACQUET METALS,
JEN.BR,.BR,JENSEN-GROUP,
JIN.OL,.OL,JINHUI SHIPP TRANS,
JMT.LS,.LS,"J.MARTINS,SGPS",
JUVE.MI,.MI,JUVENTUS FC,
KBC.BR,.BR,KBC,
KBCA.BR,.BR,KBC ANCORA,
KCC.OL,.OL,KLAVENESS COMBINAT,
KENDR.AS,.AS,KENDRION,
KER.PA,.PA,KERING,
KEYW.BR,.BR,KEYWARE TECH.,
KID.OL,.OL,KID,
KIN.BR,.BR,KINEPOLIS GROUP,
KING.OL,.OL,THE KINGFISH COMP,
KIT.OL,.OL,KITRON,
KK.MI,.MI,KRUSO KAPITAL,
KLDVK.OL,.OL,KALDVIK,
KLN.MI,.MI,KALEON,
KME.MI,.MI,KME GROUP,
KMER.MI,.MI,KME GROUP RSP,
KMR.IR,.IR,KENMARE RESOURCES,
KOA.OL,.OL,KONGSBERG AUTOMOT,
KOF.PA,.PA,KAUFMAN ET BROAD,
KOG.OL,.OL,KONGSBERG GRUPPEN,
KOMPL.OL,.OL,KOMPLETT,
KPN.AS,.AS,KPN KON,
KRAB.OL,.OL,KRAFT BANK,
KRX.IR,.IR,KINGSPAN GROUP PLC,
KRZ.IR,.IR,KERRY GROUP PLC,
LACR.PA,.PA,LACROIX GROUP,
LAT.PA,.PA,LATECOERE,
LBIRD.PA,.PA,LUMIBIRD,
LDB.MI,.MI,LINDBERGH,
LDO.MI,.MI,LEONARDO,
LEBL.PA,.PA,FONCIERE 7 INVEST,
LFG.MI,.MI,LEONE FILM GROUP,
LHYFE.PA,.PA,LHYFE,
LI.PA,.PA,KLEPIERRE,
LIFE.OL,.OL,LIFECARE,
LIGHT.AS,.AS,SIGNIFY NV,
LIN.PA,.PA,LINEDATA SERVICES,
LINK.OL,.OL,LINK MOBILITY GRP,
LMG.MI,.MI,LUCISANO MEDIA G,
LNA.PA,.PA,LNA SANTE,
LNDR.MI,.MI,LANDI RENZO,
LOCAL.PA,.PA,SOLOCAL GROUP,
LOKO.OL,.OL,LOKOTECH GROUP,
LON.MI,.MI,LONGINO&CARDENAL,
LOTB.BR,.BR,LOTUS BAKERIES,
LOUP.PA,.PA,LDC,
LPE.PA,.PA,LAURENT-PERRIER,
LR.PA,.PA,LEGRAND,
LS.MI,.MI,LEMON SISTEMI,
LSG.OL,.OL,LERØY SEAFOOD GP,
LSS.PA,.PA,LECTRA,
LTA.PA,.PA,ALTAMIR,
LTMC.MI,.MI,LOTTOMATICA GROUP,
LTX.MI,.MI,LITIX,
LUMI.OL,.OL,LUMI GRUPPEN,
LUVE.MI,.MI,LUVE,
LVIDE.AS,.AS,LAVIDE HOLDING,
LYTIX.OL,.OL,LYTIX BIOPHARMA,
MAAT.PA,.PA,MAAT PHARMA,
MAIRE.MI,.MI,MAIRE,
MALT.PA,.PA,MALTERIES FCO-BEL.,
MAPS.MI,.MI,MAPS,
MAR.LS,.LS,MARTIFER,
MARE.MI,.MI,MARE ENGINEERING,
MARK.MI,.MI,MARKBASS,
MARP.MI,.MI,MARZOCCHI POMPE,
MARR.MI,.MI,MARR,
MAS.OL,.OL,MÅSØVAL,
MASI.MI,.MI,MASI AGRICOLA,
MAU.PA,.PA,MAUREL ET PROM,
MB.MI,.MI,MEDIOBANCA,
MBWS.PA,.PA,MBWS,
MC.PA,.PA,LVMH,
MCC.BR,.BR,IMMO MCC,
MCP.LS,.LS,MEDIA CAPITAL,
MDM.PA,.PA,MAISONS DU MONDE,
MEDCL.PA,.PA,MEDINCELL,
MEDI.OL,.OL,MEDISTIM,
MELE.BR,.BR,MELEXIS,
MELG.OL,.OL,MELHUS SPAREBANK,
MEMS.PA,.PA,MEMSCAP REGPT,
MERY.PA,.PA,MERCIALYS,
MET.MI,.MI,MET.EXTRA GROUP,
MEV.MI,.MI,MEVIM,
MF.PA,.PA,WENDEL,
MFEA.MI,.MI,MFE A,
MFEB.MI,.MI,MFE B,
MFT.MI,.MI,MATICA FINTEC,
MGN.OL,.OL,MAGNORA,
MGS.MI,.MI,MAGIS,
MHM.PA,.PA,MYHOTELMATCH,
MICC.AS,.AS,MAGNUM,
MIKO.BR,.BR,MIKO,
MING.OL,.OL,SPAREBANK 1 SMN,
MIO.IR,.IR,MINCON GROUP PLC,
ML.PA,.PA,MICHELIN,
MLAA.PA,.PA,AGENCE AUTO,
MLAAH.PA,.PA,AMATHEON AGRI,
MLAAT.PA,.PA,AZOREAN TECH,
MLABC.PA,.PA,IGIS NEPTUNE,
MLACT.PA,.PA,ACTIVIUM GROUP,
MLAEM.PA,.PA,ASHLER ET MANSON,
MLAGI.PA,.PA,AG3I,
MLAGP.PA,.PA,AGP MALAGA SOCIMI,
MLAIG.PA,.PA,ANDINO GLOBAL,
MLALE.PA,.PA,UCAPITAL GLOBAL,
MLALV.PA,.PA,ALVEEN,
MLARD.PA,.PA,ARDOIN ST AMAND A,
MLARO.PA,.PA,AROCA DEL PINAR,
MLATR.LS,.LS,ATRIUM BIRE SIGI,
MLAZL.PA,.PA,AZ LEASING,
MLAZR.PA,.PA,THE AZUR SELECTION,
MLBBO.PA,.PA,BEBO HEALTH,
MLBIO.PA,.PA,NORTEM BIOGROUP,
MLBON.PA,.PA,BONYF,
MLBSP.PA,.PA,BLUE SHARK POWER,
MLC.IR,.IR,MALIN CORP. PLC,
MLCAC.PA,.PA,LOMBARD ET MEDOT,
MLCFD.PA,.PA,CH.FER DEPARTEMENT,
MLCFM.PA,.PA,CFM INDOSUEZWEALTH,
MLCHE.PA,.PA,CHEOPS TECHNOLOGY,
MLCLI.PA,.PA,MAISON CLIO BLUE,
MLCLP.PA,.PA,COLIPAYS,
MLCMB.PA,.PA,CIE DU MONT BLANC,
MLCMG.PA,.PA,CMG CLEANTECH,
MLCMI.PA,.PA,SCEMI,
MLCNT.PA,.PA,CONSORT NT,
MLCOR.PA,.PA,COREP LIGHTING,
MLCOT.PA,.PA,CORETECH 5,
MLCOU.PA,.PA,COURBET HERITAGE,
MLDAM.PA,.PA,DAMARIS,
MLDYN.PA,.PA,DYNAFOND,
MLEAS.PA,.PA,EASSON HOLDINGS,
MLEAV.PA,.PA,EAVS,
MLEDR.PA,.PA,EAUX DE ROYAN,
MLEFA.PA,.PA,EDUFORM ACTION,
MLERH.PA,.PA,ELIX,
MLFDV.PA,.PA,FD,
MLFIR.PA,.PA,FIRSTCAUTION,
MLFMV.LS,.LS,FARMINVESTE,
MLFNP.PA,.PA,FNPTECHNOLOGIESSA,
MLFTI.PA,.PA,FRANCE TOURISME,
MLFXO.PA,.PA,FINAXO,
MLGAI.PA,.PA,G.A.I.,
MLGAL.PA,.PA,GALEO,
MLGEQ.PA,.PA,GENTLEMENS EQUITY,
MLGRC.PA,.PA,GROUPE CARNIVOR,
MLHBB.PA,.PA,HOCHE BAINS L.BAIN,
MLHBP.PA,.PA,HOTELES BESTPRICE,
MLHCF.PA,.PA,HOME CONCEPT,
MLHIN.PA,.PA,HOTL.IMMOB.NICE,
MLHK.PA,.PA,HK,
MLHMC.PA,.PA,HOT.MAJESTIC CANNE,
MLHOT.PA,.PA,HOTELIM,
MLHPE.PA,.PA,HOPENING,
MLHYD.PA,.PA,HYDRAULIQUEHOLDING,
MLHYE.PA,.PA,HYDRO-EXPLOIT.,
MLIDS.PA,.PA,IDS,
MLIFC.PA,.PA,INFOCLIP,
MLIFS.PA,.PA,IMPULSE FITNESS,
MLIML.PA,.PA,IMALLIANCE,
MLIMP.PA,.PA,IMPRIMERIE CHIRAT,
MLINA.PA,.PA,INMOLECULE,
MLINT.PA,.PA,IANTE INVESTMENTS,
MLIPP.PA,.PA,IMM.PARIS.PERLE,
MLIRF.PA,.PA,INNOVATIVE RFK SPA,
MLITN.PA,.PA,ITALY INNOVAZIONI,
MLLAB.PA,.PA,MEDIA LAB,
MLLCB.PA,.PA,CONSTRUCTEURS BOIS,
MLLOI.PA,.PA,LOCASYSTEM INTL,
MLMAQ.PA,.PA,MAQ ADMON. URBANAS,
MLMAZ.BR,.BR,MAZARO,
MLMFI.PA,.PA,CONDOR TECHNOLOG,
MLMGL.PA,.PA,MAGILLEM,
MLMIB.PA,.PA,METRICS IN BALANCE,
MLMTP.PA,.PA,MONTEPINO LOGISTIC,
MLMUT.PA,.PA,MUTTER VENTURES,
MLNEU.BR,.BR,NEUFCOUR-FIN.,
MLNMA.PA,.PA,MIGUET ET ASSOCIES,
MLNOV.PA,.PA,NOVATECH IND.,
MLOCT.PA,.PA,OCTOPUS BIOSAFETY,
MLODT.PA,.PA,ODIOT S.A.,
MLONE.PA,.PA,BODY ONE,
MLONL.PA,.PA,ONLINEFORMAPRO,
MLORE.LS,.LS,OLIMPO REAL ESTATE,
MLORQ.PA,.PA,ORINOQUIA,
MLPAC.PA,.PA,PACTE NOVATION,
MLPER.PA,.PA,PERSEIDA RENTA,
MLPHO.PA,.PA,PHOTONIKE CAPITAL,
MLPHW.PA,.PA,PHONE WEB,
MLPLC.PA,.PA,PLACOPLATRE,
MLPRE.PA,.PA,PRELUDE S.A,
MLPRG.PA,.PA,PREATONI GROUP,
MLPRI.PA,.PA,PROP.IMMEUBLES,
MLPRX.PA,.PA,PARX MATERIALS NV,
MLPVG.PA,.PA,GROUPE PLUS-VALUES,
MLRZE.LS,.LS,RAIZE,
MLSCI.PA,.PA,SCIENTIA SCHOOL,
MLSDN.PA,.PA,SAVONNERIE NYONS,
MLSEQ.PA,.PA,SEQUA PETROLEUM NV,
MLSML.PA,.PA,SMALTO,
MLSRP.PA,.PA,SPEED RABBIT PIZZA,
MLSTR.PA,.PA,STREIT MECANIQUE,
MLTRO.PA,.PA,TROC ILE,
MLTV.BR,.BR,CHOICE,
MLUAV.PA,.PA,EMBENTION,
MLUMG.PA,.PA,UMALIS GROUP,
MLVIE.PA,.PA,INTEGRITAS VIAGER,
MLVIN.PA,.PA,FONCIERE VINDI,
MLVST.PA,.PA,TELEVISTA,
MLWEA.PA,.PA,WEACCESS GROUP,
MLWEY.PA,.PA,WEYA,
MLWRS.PA,.PA,WELLNESS,
MLZAM.PA,.PA,ZCCM,
MMB.PA,.PA,LAGARDERE SA,
MMT.PA,.PA,METROPOLE TV,
MN.MI,.MI,MONDADORI EDIT,
MNL.MI,.MI,MONNALISA,
MOL.MI,.MI,MOLTIPLY GROUP,
MONC.MI,.MI,MONCLER,
MONT.BR,.BR,MONTEA,
MOP.BR,.BR,MOPOLI,
MOPF.BR,.BR,MOPOLI FOND,
MORE.AS,.AS,MOREFIELD GROUP,
MORG.OL,.OL,SPAREBANKEN MØRE,
MORLD.OL,.OL,MORELD,
MOUR.BR,.BR,MOURY CONSTRUCT,
MOWI.OL,.OL,MOWI,
MPCC.OL,.OL,MPC CONTAINER SHIP,
MPCES.OL,.OL,MPC ENERGY SOLUTIO,
MPT.MI,.MI,IMPIANTI,
MQSPA.MI,.MI,MEGLIOQUESTO,
MRL.LS,.LS,MERLIN PROPERTIES,
MRN.PA,.PA,MERSEN,
MS.MI,.MI,MISITANO STRACUZZI,
MT.AS,.AS,ARCELORMITTAL SA,
MTK.MI,.MI,METRIKS AI,
MTLS.BR,.BR,MATERIALISE,
MTRK.AS,.AS,MOTORK,
MTS.MI,.MI,MIT SIM,
MTU.PA,.PA,MANITOU BF,
MTV.MI,.MI,MONDO TV,
MTVFR.MI,.MI,MONDO TV FRANCE,
MULTI.OL,.OL,MULTICONSULT,
MVE.OL,.OL,MATVAREEXPRESSEN,
MVW.OL,.OL,M VEST WATER,
NACON.PA,.PA,NACON,
NAE.PA,.PA,North Atlantic En.,
NAI.AS,.AS,NAI ORD SHARES,
NAITR.AS,.AS,NAI TREAS SHARES,
NANO.PA,.PA,NANOBIOTIX,
NAPA.OL,.OL,NAPATECH,
NAS.OL,.OL,NORWEGIAN AIR SHUT,
NAVA.OL,.OL,NAVAMEDIC,
NBA.LS,.LS,"NOVABASE,SGPS",
NBX.OL,.OL,NORWEGIAN BLOCK EX,
NCOD.OL,.OL,NORCOD,
NDT.MI,.MI,NEODECORTECH,
NEDAP.AS,.AS,NEDAP,
NEDSE.AS,.AS,MKB Nedsense,
NEL.OL,.OL,NEL,
NEWT.BR,.BR,NEWTREE,
NEX.PA,.PA,NEXANS,
NEXI.MI,.MI,NEXI,
NEXT.OL,.OL,NEXT BIOMETRICS GP,
NEXTA.BR,.BR,NEXTENSA,
NHY.OL,.OL,NORSK HYDRO,
NISB.OL,.OL,NIDAROS SPAREBANK,
NK.PA,.PA,IMERYS,
NKR.OL,.OL,NEKKAR,
NN.AS,.AS,NN GROUP,
NOAP.OL,.OL,NORDIC AQUA PART,
NOD.OL,.OL,NORDIC SEMICONDUC,
NOFIN.OL,.OL,NORDIC FINANCIALS,
NOHAL.OL,.OL,NORDIC HALIBUT,
NOL.OL,.OL,NORTHERN OCEAN LTD,
NOM.OL,.OL,NORDIC MINING,
NONG.OL,.OL,SPBK1 NORD-NORGE,
NORAM.OL,.OL,NORAM DRILLING,
NORBT.OL,.OL,NORBIT,
NORCO.OL,.OL,NORCONSULT,
NORDH.OL,.OL,NORDHEALTH A-AKSJE,
NORSE.OL,.OL,NORSE ATLANTIC,
NORTH.OL,.OL,NORTH ENERGY,
NOS.LS,.LS,"NOS, SGPS",
NOSN.OL,.OL,NOS NOVA,
NOVA.MI,.MI,NOVAMARINE,
NPI.MI,.MI,NOTORIOUS PICTURES,
NR.MI,.MI,NEXT RE,
NR21.PA,.PA,NR21,
NRC.OL,.OL,NRC GROUP,
NRG.PA,.PA,NRJ GROUP,
NRO.PA,.PA,NEURONES,
NRP.AS,.AS,NEPI ROCKCASTLE,
NRST.MI,.MI,NEUROSOFT,
NSE.AS,.AS,NEW SOURCES ENERGY,
NSI.AS,.AS,NSI N.V.,
NSKOG.OL,.OL,NORSKE SKOG,
NSP.MI,.MI,NEOSPERIENCE,
NTG.OL,.OL,NORDIC TECHNOLOGY,
NTI.OL,.OL,NORSK TITANIUM,
NUS.MI,.MI,NUSCO,
NVG.LS,.LS,THE NAVIGATOR COMP,
NWL.MI,.MI,NEWPRINCES,
NXFIL.AS,.AS,NX FILTRATION,
NXI.PA,.PA,NEXITY,
NXT.MI,.MI,NEXT GEOSOLUTIONS,
NYKD.OL,.OL,NYKODE THERAPEUTIC,
NYR.BR,.BR,NYRSTAR,
NYXH.BR,.BR,NYXOAH,
OBEL.BR,.BR,ORANGE BELGIUM,
OBSRV.OL,.OL,OBSERVE MEDICAL,
OCEAN.OL,.OL,OCEAN GEOLOOP,
OCI.AS,.AS,OCI,
ODET.PA,.PA,COMPAGNIE ODET,
ODF.OL,.OL,ODFJELL SER. A,
