ticker,exchange_suffix,name,sector,isin,euronext_symbol,mic,market,source,n_days,first_trade_date,last_trade_date,alive_at_period_end,inferred_delisted_before_period_end,status
4ALFEN.MI,.MI,ALFEN BEHEER,,NL0012817175,4ALFEN,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4ALO.MI,.MI,ALSTOM,,FR0010220475,4ALO,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4ALV.MI,.MI,ALLIANZ,,DE0008404005,4ALV,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4AMAT.MI,.MI,APPLIED MATERIALS,,US0382221051,4AMAT,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4AMD.MI,.MI,ADVANCED MICRO DEV,,US0079031078,4AMD,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4AMGN.MI,.MI,AMGEN,,US0311621009,4AMGN,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4AMS.MI,.MI,AMADEUS IT GROUP,,ES0109067019,4AMS,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4AMT.MI,.MI,AMERICAN TOWER R,,US03027X1000,4AMT,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4AMUN.MI,.MI,AMUNDI,,FR0004125920,4AMUN,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4AMZN.MI,.MI,AMAZON,,US0231351067,4AMZN,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4ANTM.MI,.MI,ELEVANCE HEALTH,,US0367521038,4ANTM,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4APD.MI,.MI,AIR PRODUCTS AND C,,US0091581068,4APD,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4APH.MI,.MI,Amphenol Corp,,US0320951017,4APH,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4ASM.MI,.MI,ASM INTERNATIONAL,,NL0000334118,4ASM,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4ASML.MI,.MI,ASML,,NL0010273215,4ASML,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4AVGO.MI,.MI,BROADCOM,,US11135F1012,4AVGO,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4AWK.MI,.MI,AMERICAN WATER WOR,,US0304201033,4AWK,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4AXP.MI,.MI,AMERICAN EXPRESS,,US0258161092,4AXP,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4AZO.MI,.MI,AUTOZONE,,US0533321024,4AZO,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4BA.MI,.MI,BOEING,,US0970231058,4BA,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4BAC.MI,.MI,BANK OF AMERICA,,US0605051046,4BAC,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4BAS.MI,.MI,BASF,,DE000BASF111,4BAS,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4BAX.MI,.MI,BAXTER INTERN,,US0718131099,4BAX,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4BAYN.MI,.MI,BAYER,,DE000BAY0017,4BAYN,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4BBVA.MI,.MI,BBVA,,ES0113211835,4BBVA,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4BBY.MI,.MI,BEST BUY CO,,US0865161014,4BBY,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4BDX.MI,.MI,"BECTON, DICKINSON",,US0758871091,4BDX,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4BEI.MI,.MI,BEIERSDORF,,DE0005200000,4BEI,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4BIIB.MI,.MI,BIOGEN,,US09062X1037,4BIIB,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4BK.MI,.MI,THE BANK OF NY MEL,,US0640581007,4BK,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4BKNG.MI,.MI,BOOKING HOLDINGS,,US09857L1089,4BKNG,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4BLK.MI,.MI,BLACKROCK,,US09290D1019,4BLK,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4BMRN.MI,.MI,BIOMARIN PHARMA,,US09061G1013,4BMRN,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4BMW.MI,.MI,BMW,,DE0005190003,4BMW,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4BMW3.MI,.MI,BMW PREF,,DE0005190037,4BMW3,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4BMY.MI,.MI,BRISTOL-MYERS SQ,,US1101221083,4BMY,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4BN.MI,.MI,DANONE,,FR0000120644,4BN,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4BNP.MI,.MI,BNP PARIBAS,,FR0000131104,4BNP,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4BOSS.MI,.MI,HUGO BOSS,,DE000A1PHFF7,4BOSS,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4BRK.MI,.MI,BERKSHIRE HATHAW B,,US0846707026,4BRK,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4BSX.MI,.MI,BOSTON SCIENTIFIC,,US1011371077,4BSX,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4BYND.MI,.MI,BEYOND MEAT,,US08862E1091,4BYND,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4C.MI,.MI,CITIGROUP,,US1729674242,4C,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4CA.MI,.MI,CARREFOUR,,FR0000120172,4CA,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4CABK.MI,.MI,CAIXABANK,,ES0140609019,4CABK,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4CAP.MI,.MI,CAPGEMINI,,FR0000125338,4CAP,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4CBK.MI,.MI,COMMERZBANK,,DE000CBK1001,4CBK,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4CDE.MI,.MI,COEUR MINING,,US1921085049,4CDE,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4CEC.MI,.MI,CECONOMY,,DE0007257503,4CEC,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4CHTR.MI,.MI,CHARTER COMM,,US16119P1084,4CHTR,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4CIEN.MI,.MI,CIENA,,US1717793095,4CIEN,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4CL.MI,.MI,COLGATE-PALMOLIVE,,US1941621039,4CL,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4CLX.MI,.MI,THE CLOROX COMPANY,,US1890541097,4CLX,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
4CMCSA.MI,.MI,COMCAST,,US20030N1019,4CMCSA,MTAA,Euronext Milan,euronext_current_directory_csv_export,0,,,False,False,no_or_insufficient_yahoo_history
